MANDT,LIFNR,LAND1,NAME1,NAME2,NAME3,NAME4,ORT01,ORT02,PFACH,PSTL2,PSTLZ,REGIO,SORTL,STRAS,ADRNR,MCOD1,MCOD2,MCOD3,ANRED,BAHNS,BBBNR,BBSNR,BEGRU,BRSCH,BUBKZ,DATLT,DTAMS,DTAWS,ERDAT,ERNAM,ESRNR,KONZS,KTOKK,KUNNR,LNRZA,LOEVM,SPERR,SPERM,SPRAS,STCD1,STCD2,STKZA,STKZU,TELF1,TELF2,TELFX,XCPDK,XZEMP,VBUND,FISKN,STCEG,STKZN,GBORT,GBDAT,SEXKZ,KRAUS,REVDB,QSSYS,PFORT,WERKS,LTSNA,WERKR,PLKAL,TXJCD,SPERZ,SFRGR,LZONE,DLGRP,FITYP,STCD3,STCD4,STCD5,PROFS,EMNFR,LFURL,UPDAT,UPTIM,NODEL,CCODE,RES_CNTRY,RES_REGION,J_SC_CAPITAL,J_SC_CURRENCY
200,1000000010,US,"Santiago, Newman and Smith",Ltd,,,North Phillipberg,view,PO07901,91717,43922,TX,SORTbVPr,76310 Smith Mountains Suite 008,9000000010,Robinson Inc,Johnside,Czech Republic,M/s,Ellenfort,2719519,50431,0002,MANU,2,DL4130534163,,01,20231203,whernandez,83037568052,GRPNijs,Z003,2070968367,,,,,E,GST7919682589,PAN02231349,X,X,(722)510-5622,245-320-9567x695,(950)456-1971x963,,,CiJfXK,,VAT25272700285,X,Lake Maria,19781025,F,CR81866953,20260124,ISO9,North Gregoryborough,8092,,X,02,TX6921335813,,0001,ZONEdAjs,DG01,01,TAX27464554959,TAX53377854159,TAX2932856081055116979914957945,Distributor,EM098862,http://www.soto.biz/,20260212,130458,,2000,US,TX,4151589.31,INR
100,1000000011,DE,Thompson-Wade,and Sons,,,Reeseshire,view,PO56074,57331,58210,BY,SORTLacW,362 Shannon Hills,9000000011,"Garza, Evans and Marks",East Jeromeport,Micronesia,M/s,East Taraland,9199432,16582,0001,PHAR,7,DL7853742504,X,02,20241116,russelldanie,75645034848,GRPQDnz,Z001,2348548279,,,,,D,GST4291327546,PAN16332668,X,X,927-409-3076,947.799.3634,+1-688-819-6285x9736,,,CUtQAR,,VAT77113977971,X,Lake Sandraborough,19940522,M,CR75492067,20250605,ISO1,Eddiemouth,9533,X,X,02,TX5257229208,,0002,ZONEipXH,DG01,01,TAX78755465969,TAX88196461356,TAX6862181439617586350693864651,Supplier,EM886430,http://www.davis-smith.com/,20260212,130458,,3000,DE,BY,4575023.92,INR
400,1000000012,GB,Hernandez-Fuller,LLC,,,West Ashley,bury,PO69065,09574,65956,MN,SORTcNuD,977 Sandra Rapid Suite 650,9000000012,Jackson Group,New Leslie,Western Sahara,Ms.,New Matthewchester,9830017,80097,0001,PHAR,2,DL4794966215,,01,20240315,brittany40,68627522701,GRPOKPZ,Z001,2281116662,,,,,E,GST2212994502,PAN15983236,X,X,001-939-827-9283,001-615-899-4721,001-487-481-2457x790,,,CqyDza,,VAT98728365572,X,West Deborahtown,19700129,M,CR44147681,20250906,ISO1,Silvaview,1918,,X,02,TX5902519655,,0001,ZONEuJAY,DG02,01,TAX99325801843,TAX96581433042,TAX5434279255806504593594114593,Manufacturer,EM940810,https://mcguire-martin.com/,20260212,130458,,3000,GB,MN,5295008.57,INR
400,1000000013,DE,Miller LLC,Ltd,,,New April,berg,PO95779,80362,09169,NW,SORTHzFW,96520 Gardner Road,9000000013,"Anderson, Estrada and Har",North Jamesburgh,Reunion,Mr.,North Jennaborough,6172151,19733,0002,AUTO,9,DL1057421705,,02,20240212,douglashicks,66553814481,GRPbdfT,Z002,2666568744,,,,,E,GST7013657807,PAN55942133,X,,551.866.8812,(369)262-2272x14,9713709671,,,CPspmu,,VAT69187792874,X,Debrastad,19681225,F,CR89378442,20250504,ISO9,Timothyview,5210,,X,02,TX8561015287,,0002,ZONEgkvX,DG01,01,TAX75820058151,TAX97290323820,TAX5006482601046273323990605823,Manufacturer,EM437096,https://bruce-parrish.net/,20260212,130458,,3000,DE,NW,6100769.79,INR
100,1000000014,US,Vaughn-Donovan,LLC,,,North Jacobchester,view,PO54105,99292,20939,FL,SORTZTuh,8170 Bradley Wells Suite 137,9000000014,"Willis, Washington and St",South Tylershire,Papua New Guinea,Mr.,West Robert,2923429,76997,0002,CONS,2,DL1702427526,X,01,20240101,bobbylewis,90885860606,GRPlhKL,Z001,2538140994,,,,,D,GST9587723684,PAN66461273,,X,(819)999-8078x35,395.883.9871x254,001-301-697-5512x648,,,COMDrk,,VAT95001908756,,Gillport,19670912,F,CR76302833,20251126,ISO1,South Sarahstad,5759,X,X,01,TX5466024468,,0002,ZONEhokM,DG02,02,TAX45503283559,TAX10571099807,TAX1121816702616346515050331243,Distributor,EM427671,http://www.mckinney.com/,20260212,130458,,2000,US,FL,2090431.29,INR
200,1000000015,US,"Summers, Hopkins and Lopez",Ltd,,,North Franciscoshire,chester,PO36935,37357,23464,CA,SORTIDHF,59904 Jose Ports,9000000015,Hubbard-Daniels,Lake Stacy,Belarus,Ms.,Jasonview,8236649,52882,0001,PHAR,1,DL9909578340,X,01,20230730,clogan,32273926748,GRPRSTa,Z001,2261673535,,,,,E,GST1689175133,PAN98160422,X,X,001-949-466-2255,603-458-6720x824,(591)313-9785x30862,,,CaGvfi,,VAT43625318616,X,Port John,19750414,M,CR59705994,20250518,ISO9,Jenniferview,2013,X,X,01,TX2526509044,,0001,ZONEPwUB,DG02,01,TAX93573203716,TAX79810019686,TAX7922448148685161273647128723,Distributor,EM689797,https://www.williams-collins.com/,20260212,130458,,3000,US,CA,4151026.41,INR
400,1000000016,US,Villa Inc,Group,,,Elizabethville,bury,PO47897,47604,76517,NY,SORTqCFr,330 Pamela Circles,9000000016,Beasley-Randall,Angelahaven,Monaco,Mr.,Harrishaven,1554001,31652,0002,PHAR,7,DL4877099021,,01,20230603,colonlori,16109509265,GRPJPQN,Z002,2392154094,,,,,D,GST8662526402,PAN99633313,,X,001-617-772-3773,2285751936,228-674-2518,,,CTQbAJ,,VAT17679821751,,Port Johnchester,19830126,F,CR07652251,20250621,ISO1,Vanessaview,8235,X,,01,TX1972669094,,0001,ZONEZcZY,DG02,02,TAX90158384120,TAX84097931558,TAX8385310229535110082633512172,Manufacturer,EM009517,https://www.palmer.org/,20260212,130458,,1000,US,NY,1116950.45,INR
200,1000000017,US,Knox-Fleming,Group,,,Johnnyview,mouth,PO08964,93283,87650,TX,SORTPSpq,59231 Vazquez Parks,9000000017,"Lynn, Owens and Ortiz",Lake Nicholas,Timor-Leste,Mr.,Gabrielaside,5943826,14496,0002,CONS,5,DL3614850409,,02,20260121,christopher2,02563701707,GRPlgnj,Z001,2412770500,,,,,E,GST7792939092,PAN00610275,,X,3785631561,314-343-3362x744,+1-820-912-6571,,,CmTQGu,,VAT26503334499,,Kimhaven,19741207,M,CR20519295,20251123,ISO9,South Mollyview,1056,,X,02,TX4342029873,,0001,ZONEAcal,DG01,02,TAX51094967574,TAX62190687201,TAX1561972209585115502630292503,Distributor,EM639410,http://www.parrish.info/,20260212,130458,,2000,US,TX,6918401.87,INR
400,1000000018,US,"Mcclure, Byrd and Johnson",Ltd,,,Lanemouth,haven,PO08422,63183,22617,FL,SORTgQGN,78256 Nicolas Pines Suite 272,9000000018,Morrison Inc,Harriston,Palau,Ms.,West Michaelville,4540825,57426,0001,PHAR,2,DL7938539082,,02,20231106,nkim,73635328848,GRPIYcv,Z001,2743030060,,,,,E,GST1801632134,PAN49184545,,,956.802.0707x430,717.613.8064x911,8389106922,,,CUjbwa,,VAT70693939136,,North Adrian,19830629,F,CR48476448,20260115,ISO1,Ronaldside,1642,,,02,TX3904341079,,0001,ZONEwWeo,DG01,01,TAX58553834209,TAX52001115056,TAX0006206932021668414562925154,Supplier,EM340196,http://www.kennedy-frank.com/,20260212,130458,,2000,US,FL,5232102.96,INR
100,1000000019,DE,Martinez Inc,and Sons,,,Thomasville,bury,PO89750,82151,74311,BW,SORTHsps,971 Campbell Divide,9000000019,Murphy-Jackson,East Brianport,Burkina Faso,Ms.,Joestad,5826234,77150,0001,MANU,0,DL1364657657,X,02,20240426,michaelgonza,96993680666,GRPXywm,Z002,2673234798,,,,,D,GST5900810062,PAN76348407,X,X,726-866-1576x594,482-648-8484x747,(821)643-3137,,,CyFsjA,,VAT98143592997,X,North Stephanie,19980214,F,CR87724023,20250308,ISO1,East Scottstad,1706,,,02,TX2144320861,,0002,ZONEFLGU,DG02,02,TAX45622144172,TAX81686522272,TAX0335569756623265835579336106,Supplier,EM951052,http://www.burton.com/,20260212,130458,,2000,DE,BW,9707335.44,INR
400,1000000020,IN,Lee-Clay,Inc,,,West Christinestad,fort,PO82516,14472,31516,KA,SORTIsLT,9791 Bender Manor Apt. 651,9000000020,Rhodes PLC,New Jennifer,Guinea-Bissau,Ms.,Velasquezfurt,9909729,81322,0002,MANU,6,DL0701264324,,02,20250319,mbird,65484142431,GRPkcqz,Z001,2071888193,,,,,D,GST4953697352,PAN37257515,X,X,517.382.3011x693,+1-264-572-1740x,+1-988-508-3661x2357,,,CXbtkE,,VAT69079573942,X,South Jasonberg,19970830,F,CR02217530,20250916,ISO1,Johnsonhaven,7998,,X,01,TX5303090354,,0002,ZONEQdKr,DG02,02,TAX97808509622,TAX15184150992,TAX5031236457143984688260698180,Supplier,EM184955,http://www.owens-rice.org/,20260212,130458,,3000,IN,KA,810555.58,INR
200,1000000021,DE,Prince-Lucas,Ltd,,,New Johnmouth,stad,PO70367,93556,73355,BW,SORTFvUd,9264 Oconnell Throughway Suite 599,9000000021,Ellis-Boone,Lake Monicaborough,Guyana,Ms.,Port Jamie,5802423,94811,0001,CONS,7,DL8063119672,,02,20230812,shawnmclaugh,63532624583,GRPLlVN,Z001,2944834098,,,,,E,GST4187848116,PAN14040685,,X,338-788-7342x965,387-289-8661,(352)279-7419,,,CnPscm,,VAT47406697616,X,South Kevin,19770314,M,CR47454513,20260116,ISO9,Jenniferborough,8750,,X,01,TX7923571825,,0002,ZONEZVXC,DG01,02,TAX51251319801,TAX75093436097,TAX7933179137002294680863519476,Supplier,EM453892,https://www.vasquez-sanchez.com/,20260212,130458,,3000,DE,BW,417434.65,INR
200,1000000022,IN,Rivas-Nguyen,and Sons,,,Lake Cheryl,bury,PO91609,20205,22646,KA,SORTOpbZ,85837 Alexander Alley,9000000022,"Reyes, Torres and Grant",Lake Jason,Argentina,Ms.,East Shellyport,2070656,37416,0002,CONS,3,DL0258835530,,02,20240610,mcdonaldpark,06682654398,GRPuwLV,Z002,2586687254,,,,,D,GST9913914621,PAN59308813,,,+1-698-888-4661x,001-840-334-0012,781-240-3346,,,CwGLRV,,VAT16448826139,X,Stevenstown,19970809,M,CR85484096,20250723,ISO1,Carlsonside,3144,,,01,TX6857718850,,0001,ZONENgpe,DG02,02,TAX54288508006,TAX88404251806,TAX2959768854775170364139545641,Supplier,EM164928,http://www.thomas-solis.net/,20260212,130458,,2000,IN,KA,1086315.68,INR
100,1000000023,GB,Watson Group,and Sons,,,East Kim,furt,PO13213,72990,15875,MN,SORTgOLX,113 Haas Canyon Apt. 576,9000000023,Washington-Gomez,Port Luishaven,Gabon,Ms.,Barbermouth,2823132,44252,0002,MANU,2,DL2687699101,X,02,20240728,sanchezsheli,79174716071,GRPstRk,Z001,2836788507,,,,,E,GST0832156218,PAN97739450,X,,317.284.3747,615.828.8723x181,+1-277-805-3108,,,CPCVlZ,,VAT02556392213,X,North Beth,19701212,M,CR78794698,20251007,ISO9,Clarkmouth,4412,X,,01,TX4886068328,,0001,ZONEKQho,DG01,02,TAX75651591935,TAX02788663635,TAX1007658080822211844241520475,Manufacturer,EM604828,https://smith.biz/,20260212,130458,,1000,GB,MN,1488834.65,INR
400,1000000024,DE,Elliott Group,and Sons,,,South Manuel,shire,PO89441,75699,93847,BW,SORTpgPy,349 Ethan Crescent,9000000024,Harmon-Hardy,Colemanchester,Greenland,M/s,Zacharyton,6689161,12012,0001,MANU,1,DL5453904164,,02,20241020,crosbymadiso,40358499641,GRPAINl,Z003,2257298796,,,,,E,GST6436759990,PAN08389037,X,,(670)244-4040x98,(503)361-1714x61,233.928.9668x472,,,CKhrzc,,VAT20182948057,,Debraport,19701012,F,CR65018420,20250517,ISO9,Deanstad,3774,X,,02,TX2464387839,,0002,ZONEuMVK,DG02,01,TAX34908807209,TAX56777418161,TAX4776516178349182780365517085,Distributor,EM978934,http://www.adams.org/,20260212,130458,,3000,DE,BW,8214712.34,INR
300,1000000025,DE,Solomon and Sons,Group,,,South David,furt,PO46725,58807,02813,BW,SORTIYmf,002 Cody Rue Suite 250,9000000025,Woods-Perkins,New Laura,Korea,Ms.,Lake Cathy,3593587,98843,0002,CONS,3,DL3624703598,,01,20250321,vcarlson,45365907444,GRPAMDd,Z001,2941784083,,,,,D,GST8376241730,PAN06125451,X,,+1-708-418-4377x,721.957.5490,571-755-5986x82792,,,CBZaCq,,VAT49097330368,,Port Kimberlymouth,19690411,M,CR38025149,20250508,ISO9,East Micheleshire,4682,X,X,02,TX5358150755,,0002,ZONENwmI,DG01,01,TAX20072693033,TAX05559540166,TAX3204256931812977532302644040,Manufacturer,EM512492,http://www.leach.com/,20260212,130458,,2000,DE,BW,6856415.07,INR
100,1000000026,US,Hodges-Copeland,Group,,,Costaview,land,PO57964,00561,13291,CA,SORTVqXi,8843 Barbara Throughway Suite 581,9000000026,Allen-Cooper,Port Kimberly,Kiribati,Ms.,Randallchester,3721399,76747,0002,MANU,8,DL3774307258,X,01,20251229,rodriguezchr,44215299896,GRPjBxN,Z002,2217645431,,,,,D,GST5893718271,PAN35422390,,X,3639619720,+1-399-233-5463x,558.552.0638x964,,,CfHxvn,,VAT82476687310,,North Valerie,19960807,M,CR60590362,20251124,ISO9,Melissaton,6142,X,X,01,TX1791808790,,0002,ZONEePdz,DG01,02,TAX25145899609,TAX95032410987,TAX8022663911656409359117026125,Manufacturer,EM643219,http://www.fields.com/,20260212,130458,,1000,US,CA,3723723.44,INR
300,1000000027,GB,Conley LLC,and Sons,,,West Brandon,mouth,PO78122,07427,01841,MN,SORTZdDn,99126 Montgomery Summit,9000000027,Murphy PLC,New Hannahtown,Belize,Mr.,New Josephfort,5202070,48744,0001,MANU,4,DL3384294730,X,01,20230427,mariajones,83079912526,GRPdOqN,Z003,2214252478,,,,,D,GST3064079981,PAN68174398,,,(298)913-4438,+1-573-464-6160,+1-568-766-9567,,,CjGLZZ,,VAT98260043644,X,West Bruce,19951008,M,CR59232391,20260123,ISO9,New Patriciatown,9919,,,02,TX0569673789,,0001,ZONEospD,DG02,01,TAX85142685701,TAX47975340324,TAX5116454974707567431079456970,Distributor,EM700945,http://rich.com/,20260212,130458,,1000,GB,MN,7572571.52,INR
300,1000000028,IN,Salinas Inc,Inc,,,West James,haven,PO81811,37900,77077,DL,SORTTZRj,804 Brown Light,9000000028,Austin-Thompson,Port Ashley,Puerto Rico,Mr.,Port Dawn,8332724,50703,0002,CONS,6,DL0507299638,,01,20250630,nmoyer,15176947637,GRPKCrA,Z001,2040019637,,,,,E,GST3266680746,PAN63855260,X,,+1-862-477-0398x,(437)267-9861,(484)379-8973x035,,,CqArYp,,VAT10082771892,,West Scott,19860116,M,CR74749280,20250217,ISO9,Chenshire,1135,,X,01,TX4043008527,,0002,ZONEKJVN,DG01,01,TAX90832858766,TAX69421075650,TAX2661676765455185986378148636,Manufacturer,EM289239,https://www.wood-lamb.org/,20260212,130458,,1000,IN,DL,621701.89,INR
200,1000000029,IN,Jones and Sons,PLC,,,North Ericbury,chester,PO22050,68396,24452,TN,SORTmhUh,76595 Patterson Park,9000000029,White LLC,Blackwellhaven,India,M/s,Carrfort,8852481,97404,0001,CONS,4,DL1540292191,X,02,20241231,bfrazier,89930672607,GRPIXxp,Z002,2059519759,,,,,E,GST7670885504,PAN89891903,X,,263.299.9800,822-372-2962x302,(612)788-1689x984,,,CTDule,,VAT21055032972,X,Port James,19650413,F,CR85555876,20250616,ISO1,New Emily,7092,,,01,TX3763190306,,0002,ZONENikY,DG02,02,TAX71417519915,TAX37582434798,TAX5759876602353008275080425212,Manufacturer,EM211900,https://gomez-moody.com/,20260212,130458,,2000,IN,TN,4318781.94,INR
400,1000000030,DE,"Chang, Gray and Chang",LLC,,,New Jeremytown,view,PO41728,34518,15211,NW,SORThFSQ,363 Kathy Viaduct,9000000030,Chavez-Brennan,Jessicamouth,Burundi,Ms.,West William,4281411,27394,0002,CONS,6,DL0766422305,,02,20240728,traceygross,60438123437,GRPlBcv,Z001,2853924577,,,,,E,GST7354910555,PAN23043341,X,,(651)335-1599x66,001-416-737-7204,(673)825-1013x691,,,CDPHCU,,VAT93813013413,,Kathrynmouth,19681012,M,CR28381782,20260115,ISO1,West Joseph,7964,,,01,TX7322395369,,0001,ZONElMlO,DG02,01,TAX98087830487,TAX80269792769,TAX7978978708347231270774776642,Supplier,EM189376,https://bennett-howard.com/,20260212,130458,,2000,DE,NW,2978226.54,INR
100,1000000031,DE,Turner LLC,PLC,,,Donnashire,port,PO89181,02778,07740,BW,SORTzgfH,23699 Wilson Stream,9000000031,"Norton, Gonzalez and Cox",Lake Julie,Reunion,Mr.,Parkerfurt,6253071,75307,0001,PHAR,3,DL1655431920,,02,20240419,valeriemurra,61493414312,GRPyRyg,Z002,2377088094,,,,,E,GST5663971740,PAN63313949,X,X,(785)432-8579,380.531.9947,+1-952-799-3976x1097,,,CoMLeS,,VAT57778127457,X,Jonathanbury,19820913,M,CR00566930,20260101,ISO1,Lake Danielle,5878,X,,02,TX4564034230,,0001,ZONEWwUR,DG01,02,TAX72741968758,TAX90079846326,TAX4268581962241778286945786202,Manufacturer,EM494765,http://howard.net/,20260212,130458,,3000,DE,BW,8515981.31,INR
100,1000000032,GB,Hendrix PLC,and Sons,,,Port Donna,fort,PO92229,12453,46163,MN,SORTOPJZ,44908 Macias Orchard Apt. 121,9000000032,"Sanders, Jimenez and Faul",South Kimberlyton,Papua New Guinea,Ms.,Port Anthony,9913567,12098,0001,MANU,7,DL8676493950,,02,20251129,wjordan,44542859111,GRPayIL,Z003,2013901992,,,,,E,GST8086381951,PAN86591937,X,,325-342-1211,413-307-9707x841,(638)673-9617,,,CkvbBP,,VAT19485084992,X,Mackstad,19881107,M,CR59662235,20251026,ISO9,New Jeffreybury,7676,X,,01,TX2669769212,,0001,ZONEsjgs,DG02,02,TAX01716388647,TAX04729908944,TAX8053890446421300522882406915,Supplier,EM629925,http://www.kelly-walker.com/,20260212,130458,,2000,GB,MN,494752.04,INR
